caseid,task,user,time:timestamp,start:timestamp,role,ac_index,rl_index
1628,A,ABC-000001,2021-01-20 13:20:03.083,2021-01-20 13:18:25.914,Role 5,1.0,5.0
1628,B,ABC-000001,2021-01-20 13:45:13.457,2021-01-20 13:25:23.926,Role 5,3.0,5.0
1628,G,ABC-000001,2021-01-20 14:01:36.557,2021-01-20 13:46:15.457,Role 5,11.0,5.0
1628,F,ABC-000001,2021-01-20 14:01:56.955,2021-01-20 14:01:36.557,Role 5,10.0,5.0
1628,D,ABC-000001,2021-01-20 14:04:53.238,2021-01-20 14:01:56.955,Role 5,7.0,5.0
1628,H,ABC-000001,2021-01-20 14:40:16.550,2021-01-20 14:04:53.238,Role 5,12.0,5.0
1628,C,ABC-000001,2021-01-20 14:42:10.020,2021-01-20 14:40:16.550,Role 5,5.0,5.0
1628,E,ABC-000001,2021-01-20 15:08:57.251,2021-01-20 14:42:10.020,Role 5,9.0,5.0
1628,I,ABC-000001,2021-01-20 15:28:58.597,2021-01-20 15:27:58.597,Role 5,13.0,5.0
1628,J,ABC-000001,2021-01-20 15:45:32.295,2021-01-20 15:34:18.565,Role 5,14.0,5.0
1628,K,ABC-000001,2021-01-20 15:49:03.432,2021-01-20 15:49:01.432,Role 5,15.0,5.0
1628,N,ABC-000001,2021-01-20 16:15:54.642,2021-01-20 16:04:34.081,Role 5,18.0,5.0
1628,Y,JKL-000003,2021-01-20 16:23:04.096,2021-01-20 16:15:54.642,Role 4,28.0,4.0
1628,Z,JKL-000002,2021-01-20 17:30:53.965,2021-01-20 16:23:04.096,Role 4,29.0,4.0
1628,AA,JKL-000001,2021-01-20 17:41:03.265,2021-01-20 17:30:53.965,Role 4,2.0,4.0
1628,R,DEF-000001,2021-01-20 17:46:19.414,2021-01-20 17:41:03.265,Role 2,22.0,2.0
1628,S,DEF-000002,2021-01-20 17:54:59.604,2021-01-20 17:46:19.414,Role 2,23.0,2.0
1628,T,DEF-000003,2021-01-20 18:04:21.868,2021-01-20 17:54:59.604,Role 2,24.0,2.0
